key,title,year,doi,pubmed_id,venue,reason_not_auto,access_route,status,pdf_path,notes
rayyan-601300058,A Human-Centered Approach to Interpretable Machine Learning in Clinical Decision Support Systems,2025,10.1109/ICAIIHI67124.2025.11403473,,IEEE (ICAIIHI 2025),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300058.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300059,Exploring the Advancements of AI Enabled Clinical Decision Support Systems for Patient Triage in Healthcare,2024,10.1109/HealthCom60970.2024.10880833,,IEEE (HealthCom 2024),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300059.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300060,Interpretable Machine Learning-Based Triage For Decision Support in Emergency Care,2023,10.1109/ICOEI56765.2023.10125918,,IEEE (ICOEI 2023),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300060.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300063,Interpretable Machine Learning for Early Detection of Critical Outcomes in the Emergency Department,2025,10.1109/CBMS65348.2025.00128,,IEEE (CBMS 2025),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300063.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300066,Consistency of XAI Models against Medical Expertise: An Assessment Protocol,2024,10.1109/ICHI61247.2024.00116,,IEEE (ICHI 2024),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300066.pdf,"Manually downloaded from IEEE Xplore; title verified against PDF (no DOI printed on page 1 of this PDF, but title match is exact/unambiguous)"
rayyan-601300068,Emergency Department Triage Hospitalization Prediction Based on Machine Learning and Rule Extraction,2023,10.1109/IEEECONF58974.2023.10405176,,IEEE Conference 2023,Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300068.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300073,Triage Level Prediction Using Machine Learning with Tree-Based Gradient Boosting Algorithms,2025,10.1109/CHILECON66915.2025.11476096,,IEEE (CHILECON 2025),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300073.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300074,Early Prediction of In-Hospital Mortality in Emergency Departments Using Ensemble Machine Learning,2026,10.1109/IRASET68627.2026.11538552,,IEEE (IRASET 2026),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300074.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300076,Emergency Department Triage Classification: A Comparative Study with Explainable AI for Small-Data Environments,2026,10.1109/ICAISET66439.2026.11541334,,IEEE (ICAISET 2026),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300076.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300077,Assessment of Hematological Predictors via Explainable Artificial Intelligence in the Prediction of Acute Myocardial Infarction,2023,10.1109/ACCESS.2023.3321509,,IEEE Access (journal),"Not on PubMed/PMC, but IEEE Access is itself fully open-access","Try ieeexplore.ieee.org/document lookup by DOI directly -- IEEE Access articles are free to download, no institutional login needed",retrieved,data/extraction/fulltext_pdfs/rayyan-601300077.pdf,Manually downloaded from IEEE Access; title/DOI verified against PDF
