key,title,year,doi,pubmed_id,source,adjudication,pdf_retrieved,pdf_path,fulltext_notes
rayyan-601300067,Explainable AI and Augmented Reality in Transesophageal Echocardiography (TEE) Imaging,2024,10.1109/AIxVR59861.2024.00051,,ieee,Include (to full-text),no,,See fulltext_manual_retrieval_2026-07-06.csv -- IEEE Xplore paywall
rayyan-601300087,Sparse Embedding for Interpretable Hospital Admission Prediction,2019,10.1109/EMBC.2019.8856800,,ieee,Keep Borderline (to full-text),no,,See fulltext_manual_retrieval_2026-07-06.csv -- IEEE Xplore paywall
rayyan-601300096,Early Risk Prediction for Emergency Department Triage using Machine Learning Techniques,2026,10.1109/ICAUC68182.2026.11440947,,ieee,Keep Borderline (to full-text),no,,See fulltext_manual_retrieval_2026-07-06.csv -- IEEE Xplore paywall
rayyan-601300131,A new machine learning technique for predicting traumatic injuries outcomes based on the vital signs,2019,10.23919/IConAC.2019.8895012,,other,Keep Borderline (to full-text),no,,See fulltext_manual_retrieval_2026-07-06.csv -- IEEE Xplore paywall
rayyan-601300257,FAIM: Fairness-aware interpretable modeling for trustworthy machine learning in healthcare.,2024,10.1016/j.patter.2024.101059,39569213,pubmed,Include (to full-text),yes,data/extraction/fulltext_pdfs/rayyan-601300257_PMC11573921.pdf,PMC OA (CC BY)
rayyan-601300284,AI-Powered Early Detection of Sepsis in Emergency Medicine.,2025,10.3390/life15101576,41157249,pubmed,Keep Borderline (to full-text),yes,data/extraction/fulltext_pdfs/rayyan-601300284_PMC12564974.pdf,PMC OA (CC BY)
rayyan-601300299,Predicting acute clinical deterioration with interpretable machine learning to support emergency care decision making.,2023,10.1038/s41598-023-40661-0,37604974,pubmed,Include (to full-text),yes,data/extraction/fulltext_pdfs/rayyan-601300299_PMC10442440.pdf,PMC OA (CC BY)
rayyan-601300312,Deep learning-based natural language processing for detecting medical symptoms and histories in emergency patient triage.,2024,10.1016/j.ajem.2023.11.063,38096637,pubmed,Include (to full-text),no,,See fulltext_manual_retrieval_2026-07-06.csv -- not in PMC, ScienceDirect paywall
rayyan-601300331,Human-centred AI for emergency cardiac care: Evaluating RAPIDx AI with PROLIFERATE_AI.,2025,10.1016/j.ijmedinf.2025.105810,39893766,pubmed,Include (to full-text),no,,See fulltext_manual_retrieval_2026-07-06.csv -- not in PMC, ScienceDirect paywall
rayyan-601300363,Machine learning-based triage model for elderly traumatic brain injury patients in Chinese emergency department.,2026,10.3389/fneur.2026.1817051,42266581,pubmed,Include (to full-text),yes,data/extraction/fulltext_pdfs/rayyan-601300363_PMC13243014.pdf,PMC OA (CC BY)
