key,title,year,doi,pubmed_id,batch,pdf_retrieved,pdf_path,,,,,,,
rayyan-601300058,A Human-Centered Approach to Interpretable Machine Learning in Clinical Decision Support Systems,2025,10.1109/ICAIIHI67124.2025.11403473,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300058.pdf,,,,,,,
rayyan-601300059,Exploring the Advancements of AI Enabled Clinical Decision Support Systems for Patient Triage in Healthcare,2024,10.1109/HealthCom60970.2024.10880833,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300059.pdf,,,,,,,
rayyan-601300060,Interpretable Machine Learning-Based Triage For Decision Support in Emergency Care,2023,10.1109/ICOEI56765.2023.10125918,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300060.pdf,,,,,,,
rayyan-601300063,Interpretable Machine Learning for Early Detection of Critical Outcomes in the Emergency Department,2025,10.1109/CBMS65348.2025.00128,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300063.pdf,,,,,,,
rayyan-601300066,Consistency of XAI Models against Medical Expertise: An Assessment Protocol,2024,10.1109/ICHI61247.2024.00116,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300066.pdf,,,,,,,
rayyan-601300068,Emergency Department Triage Hospitalization Prediction Based on Machine Learning and Rule Extraction,2023,10.1109/IEEECONF58974.2023.10405176,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300068.pdf,,,,,,,
rayyan-601300073,Triage Level Prediction Using Machine Learning with Tree-Based Gradient Boosting Algorithms,2025,10.1109/CHILECON66915.2025.11476096,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300073.pdf,,,,,,,
rayyan-601300074,Early Prediction of In-Hospital Mortality in Emergency Departments Using Ensemble Machine Learning,2026,10.1109/IRASET68627.2026.11538552,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300074.pdf,,,,,,,
rayyan-601300076,Emergency Department Triage Classification: A Comparative Study with Explainable AI for Small-Data Environments,2026,10.1109/ICAISET66439.2026.11541334,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300076.pdf,,,,,,,
rayyan-601300083,Explainable NLP Model for Predicting Patient Admissions at Emergency Department Using Triage Notes,2023,10.1109/BigData59044.2023.10386753,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300083.pdf,,,,,,,
rayyan-601300086,Improving Emergency Triage in Crisis Situations: a Hybrid GAN-Boosting Approach With Machine Learning,2025,10.1109/AMCAI66110.2025.11474368,,bulk_include,yes,data/extraction/fulltext_pdfs/rayyan-601300086.pdf,,,,,,,
