key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-601300058,A Human-Centered Approach to Interpretable Machine Learning in Clinical Decision Support Systems,2025,,,2025 2nd International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI),,,,1-5,V. Nimbalkar and L. Chawla and M. M. Adnan and A. Bhansali and M. Gupta and R. Kalra,,,IEEE,,"Interpretable machine learning (ML) paired with clinical decision support systems (CDSS) is revolutionizing healthcare in the context of enhancing transparency, personalization, and trust. This survey of 25 recent articles demonstrates that explainable artificial intelligence (XAI) is essential to enhance clinician adoption and patient outcomes in different clinical settings, such as oncology, emergency medicine, and mental health. Scholars note that to make AI human-centric, promote cooperation between clinicians and algorithms, and provide the transparency of data, researchers need to design AI in a more human-centric manner, which will help to align the use of ML tools with ethical, fair, and realistic principles. Although these have been made, there are still difficulties in the field, including the need to balance model accuracy and interpretability, deal with biases, and incorporate them into current clinical practice. New approaches are being designed, such as the use of electronic health records, engaging end-users in the development of designs, and the use of new approaches of explanations, such as data-centric and proximity-informed explanations.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/ICAIIHI67124.2025.11403473,Interpretable machine learning;clinical decision support systems;explainable AI;healthcare innovation;human-AI collaboration;ethical AI,,
rayyan-601300059,Exploring the Advancements of AI Enabled Clinical Decision Support Systems for Patient Triage in Healthcare,2024,,,"2024 IEEE International Conference on E-health Networking, Application & Services (HealthCom)",,,,1-4,J. M. R. Mejia and D. B. Rawat,,,IEEE,,"As the demand for medical services grows, the need for an efficient care process becomes increasingly urgent. Recent events have highlighted that the demad for services exceeds the available supply. In response, the focus of heaht information technology has shifted toward advanced clinical decision support systems (CDSS) to addess the critical challenges facing the medical industry. However, many healthcare organiztions lack robust clinical systems and tools. This research presents a comprehensive study of current industry applications, its related works, and provides insights into optimizing current state of the art machine learning (ML) CDSS with newer technologies, such as generative artificial intelligence-based knowledge graphs. This paper offers an overview of CDSS, details the patient treatment process and triage methods, explores the capabilities of knowledge graphs in healthcare, and underscores the need to incorporate machine learning into these processes to increase intelligence, robustness, and personalization.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/HealthCom60970.2024.10880833,E-triage;Health Record;Generative AI;Knowledge Graph Databases;E-Health;Remote Triage;Healthcare applications;Patient treatment process;Medical Internet of Things;Healthcare,,
rayyan-601300060,Interpretable Machine Learning-Based Triage For Decision Support in Emergency Care,2023,,,2023 7th International Conference on Trends in Electronics and Informatics (ICOEI),,,,983-990,H. Mutegeki and A. Nahabwe and J. Nakatumba-Nabende and G. Marvin,,,IEEE,,"In medicine, triage is a process that rations health services towards patients who are most in need of immediate care. Traditionally, a nurse will carry out an evaluation to ascertain a patient's condition and assign an Emergency Severity Index(ESI) to represent the urgency level needed to attend to them, which is time-consuming and subject to human error and bias. Mistriage could potentially lead to delayed medical attendance and ultimately to death if the condition is not managed, while no triage could overwhelm the finite hospital resources and medical personnel in trying to attend to the huge patient volumes. Existing research in the domain largely focuses on the prediction of patient disposition(whether or not one will be admitted). This work proposes using Explainable AI to generate insights that can support human-in-the-loop Machine Learning triage of patients at the emergency department level. This research utilized Machine learning classification algorithms like the Decision Trees classifier, Random forest classifier, Histogram-Based Gradient Boosting classifier, XGBoost classifier, and ELM Classifier to predict the Emergency Severity Index of a patient based on their medical data. Upon hyperparameter tuning, the models are evaluated and the Histogram-Based Gradient Boosting classifier topped them all as the best-performing model with an average Area Under the Curve(AUC) score of 91 % over the 5 classes and an F1 score of 70%. Explainable AI(XAI) techniques like Local Interpretable Model-Agnostic Explanations(LIME) and Shapley Additive Explanations(SHAP) were used to create more transparent and trustworthy algorithms for Intelligent Healthcare.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/ICOEI56765.2023.10125918,Machine Learning(ML);Triage;Emergency Care;Explainable Artificial Intelligence(XAI);Intelligent Healthcare,,
rayyan-601300061,Predicting Post-stroke Hospital Discharge Disposition Using Interpretable Machine Learning Approaches,2019,,,2019 IEEE International Conference on Big Data (Big Data),,,,4817-4822,J. Cho and A. Alharin and Z. Hu and N. Fell and M. Sartipi,,,IEEE,,"Stroke is the fifth leading cause of death for Americans. Due to critical consequences and cost, an efficient stroke system of care (i.e., acute treatment, post-stroke acute rehabilitation) is necessary. Early determination of hospital discharge disposition is important for stroke management, and can make an immense impact in optimizing acute treatment and planning post-acute rehabilitation with desired outcomes. With the rise of sophisticated machine learning models, many researchers have gained momentum in using such models in their studies. However, due to the lack of explanations that models provide, the integrity of the prediction result is often challenged. Our goal is to predict post-stroke hospital discharge disposition using machine learning models to increase the prediction capability while providing explanations for the results using an interpretation method, such as Local Interpretable Model-agnoistic Explanations (LIME). Our results demonstrate the effectiveness of LIME in providing interpretability to machine learning models and suggests further exploration in performance improvement.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/BigData47090.2019.9006592,machine learning;model interpretation;lime;neural network;black-box,,
rayyan-601300062,Evidence-Based Reasoning in Medical Assessment: Collaborating with Physicians in Practicing Argument Development and Evidence Marshalling,2024,,,2024 E-Health and Bioengineering Conference (EHB),2575-5145,,,1-4,Z. An and J. Huang and F. Garner,,,IEEE,,"People without professional medical knowledge often opt for expensive yet swift emergency room services when they fall ill, placing significant pressure on nurse triage systems. Although Artificial Intelligence (AI) tools are widely used in healthcare, they raise concerns about accuracy, bias, fairness, lack of explainability, ethical and legal challenges, and the risk of over-reliance and de-skilling. These issues remain unresolved by researchers. In this paper, we present research conducted in collaboration with physicians, using the scientific method for hypothesis generation, evidence collection, and hypotheses analysis to develop well-reasoned arguments and marshal evidence effectively. By integrating evidence-based reasoning with healthcare expertise, our approach mimics the nurse triage process in emergency departments (ED), offering guidance ranging from life-saving interventions to less urgent care recommendations. This clear, structured analysis-detailing the argument logic, evidence used, and its application-supports the training of less experienced ED nurses, enhancing their critical thinking skills and encouraging rational use of AI tools rather than indiscriminate reliance.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Maybe""}",10.1109/EHB64556.2024.10805601,evidence-based reasoning;medical assessment;nurse triage;healthcare education,,
rayyan-601300063,Interpretable Machine Learning for Early Detection of Critical Outcomes in the Emergency Department,2025,,,2025 IEEE 38th International Symposium on Computer-Based Medical Systems (CBMS),2372-9198,,,612-615,W. A. Sulaiman and A. Panayides and E. Schiza and E. Kyriacou and A. Kakas and C. S. Pattichis,,,IEEE,,"Emergency departments (EDs) require effective approaches for quickly identifying patients at risk of critical outcomes (inpatient mortality or ICU admission within 12 hours). This study developed interpretable machine learning models using Gradient Boosting (GB) and Logistic Regression (LR) with 13 initial triage variables from the MIMIC-IV-ED database. GB performed slightly better than LR (Accuracy: 78.21% vs. 77.27%, AUROC: 0.887 vs. 0.863, AUPRC: 0.445 vs. 0.370). The Te2Rules method was used to extract 43 clinically interpretable rules from the GB model, with a overall fidelity of 98.90%. The use of the Rule Coverage Index (RCI) to categorize rules into high, medium, and low levels futher enhanced clinical utility. This study aims to strike a balance between predictive accuracy and interpretability, facilitating clinicians in early detection of critically ill presenting to the ED.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/CBMS65348.2025.00128,Emergency department;Machine learning;Explainable AI;Healthcare analytics;Clinical decision support;Risk stratification,,
rayyan-601300064,A Review on the Role of Generative AI and Large Language Models in Telemedicine Diagnosis and Clinical Triage,2026,,,"2026 International Conference on Intelligent Processing, Hardware, Electronics, and Radio Systems (CIPHER)",,,,1-6,A. Ali and K. Kumar and H. Kaur,,,IEEE,,"In recent years, telemedicine has expanded at a very high pace, and the emergence of Generative has added to this. Large Language Models (LLMs) and Artificial Intelligence (AI) is incorporating a. new dimension to the remote care delivery. This review looks at how the technologies are being utilized in telemedicine especially in. workflow, diagnostic support, and clinical triage. Drawing In the literature of late, we discover that systems based on LLM are highly promising indeed. in enhancing the accuracy of diagnostics and administration workload on. clinicians. With that said, actual real-life adoption is still constrained by a number of things. unremitting anxieties, hallucinated outputs, biased training data, patient privacy is at risk, and the challenge of trusting that clinicians do. suggestions of non-transparent models. Assimilation with present electronic. the situation of health record systems and not having unified regulatory standards contribute. further complexity. Both the opportunities and the disadvantages are weighed in this paper. flaws in implementing LLams in clinical telemedical practices and proposes. the argument of domain specific validation, a more explicable model and prudent governance systems can be put in place in advance to massive deployment. justified.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/CIPHER70417.2026.11523731,Generative artificial intelligence;large language models;telemedicine;clinical triage;diagnostic decision support;multimodal integration,,
rayyan-601300065,AI-Based Clinical Decision Support System for Mitochondrial Assessment in IVF,2026,,,2026 World Conference on Computational Science and Technology (WcCST),,,,531-536,A. V and L. S. A and M. K. B. N,,,IEEE,,"About one in six people worldwide are affected by infertility, fostering a deepened reliance on assisted reproductive technologies (ARTs) like in vitro fertilization (IVF). However, the standard IVF decision-making process often does not include a structured assessment of mitochondrial risks that affect oocyte quality, treatment planning, and qualification for procedures like mitochondrial replacement therapy (MRT). The described system is an AI-driven clinical decision support system (CDSS) that encompasses patient assessment, oocyte mitochondrial health assessment, donor screening and recommendation, and explainable AI. The system performs machine-learning-based triage to select patients who may benefit from a targeted mitochondrial evaluation and builds support for donor compatibility decisions, utilizing both rule-based and data-driven approaches. Explainability has been ingrained through SHAP-based feature attributions to enable clinician trust and auditability. While the full mitochondrial imaging analysis module (CNN-based oocyte morphology assessment) remains future work since data were not available, the actualized modules build an operational decision support pipeline. Results from synthetic datasets show strong calibration, discriminative ability, and interpretable outputs that are amenable to further clinical validation.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/WcCST67302.2026.11495775,Mitochondrial Replacement Therapy;ThreeParent IVF;Clinical Decision Support;Oocyte Quality Assessment,,
rayyan-601300066,Consistency of XAI Models against Medical Expertise: An Assessment Protocol,2024,,,2024 IEEE 12th International Conference on Healthcare Informatics (ICHI),2575-2634,,,732-736,E. Arnaud and M. Elbattah and A. Pitteman and G. Dequen and D. A. Ghazali and P. A. Moreno-Sánchez,,,IEEE,,"Despite the significant advances made by Artificial Intelligence (AI) models in enhancing medical diagnostics and prognostics, their opacity poses a hurdle to widespread clinical adoption. In this regard, Explainable AI (XAI) aims to demystify these complex models, such as neural networks, by revealing the reasoning behind predictions. However, a notable gap exists in enabling non-experts to verify these explanations, necessitating human-in-the-loop evaluation. This paper introduces a systematic protocol, including a novel “consistency” metric, to evaluate the SHAP-based explanations of XAI, comparing them against the clinical knowledge of expert clinicians. We demonstrate how this metric could facilitate both global and feature-specific analyses, operating at the level of individual instances, and thus enhancing AI transparency. It is conceived that the implications of this work may extend beyond the medical context, offering a standardized methodology that could potentially improve the interpretability and acceptance of AI systems in diverse domains.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/ICHI61247.2024.00116,Explainable AI;Interpretability;Human in the Loop;Trustworthy AI,,
rayyan-601300067,Explainable AI and Augmented Reality in Transesophageal Echocardiography (TEE) Imaging,2024,,,2024 IEEE International Conference on Artificial Intelligence and eXtended and Virtual Reality (AIxVR),2771-7453,,,306-309,R. Harari and A. Al-Taweel and T. Ahram and H. Shokoohi,,,IEEE,,"This study explores how mocked explainable AI (xAI) decision support system and Augmented Reality (AR) impact clinicians' trust and performance in Transesophageal Echocardiography (TEE) imaging. A cohort of 24 Emergency Medicine clinicians assessed three xAI modalities alongside an AR interface. The study found that detailed xAI explanations gained the highest trust and decision accuracy. AR-based decision support was also viewed as innovative, but potentially distracting. Further studies with larger sample sizes in real clinical settings are required to validate these findings.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Maybe""}",10.1109/AIxVR59861.2024.00051,Transesophageal Echocardiography (TEE);Explainable AI (xAI);Augmented Reality (AR);Clinician Trust,,
