PMID,Title,Journal_Date,DOI,RetractionNotice
"39263113","Emerging research trends in artificial intelligence for cancer diagnostic ","2024 Sep 15","10.1016/j.heliyon.2024.e36743","Heliyon. 2025 Apr 15;11(9):e43335. doi: 10.1016/j.heliyon.2025.e43335. PMID: "
"39221858","A novel Skin lesion prediction and classification technique: ViT-GradCAM.","2024 Sep","10.1111/srt.70040","Skin Res Technol. 2024 Nov;30(11):e70154. doi: 10.1111/srt.70154. PMID: 39763445"
"38142755","Multi-feature concatenation and multi-classifier stacking: An interpretable and ","2024 Jan","10.1016/j.neuroimage.2023.120497","Neuroimage. 2025 Dec 15;324:121591. doi: 10.1016/j.neuroimage.2025.121591. PMID: "
"35528341","Explainable AI in Diagnosing and Anticipating Leukemia Using Transfer Learning ","2022","10.1155/2022/5140148","Comput Intell Neurosci. 2023 Nov 29;2023:9829424. doi: 10.1155/2023/9829424. "
"34900198","Application of Deep Learning Technology in Predicting the Risk of Inpatient Death ","2021","10.1155/2021/6169481","J Healthc Eng. 2023 Dec 6;2023:9782704. doi: 10.1155/2023/9782704. PMID: 38094765"
"34778194","PSCNN: PatchShuffle Convolutional Neural Network for COVID-19 Explainable ","2021","10.3389/fpubh.2021.768278","Front Public Health. 2024 Jan 03;11:1358370. doi: 10.3389/fpubh.2023.1358370. "
"34760142","Interpretable Diagnosis for Whole-Slide Melanoma Histology Images Using ","2021","10.1155/2021/8396438","J Healthc Eng. 2023 Dec 6;2023:9762316. doi: 10.1155/2023/9762316. PMID: 38094808"
"34608411","Application of the Preoperative Assistant System Based on Machine Learning in ","2021","10.1155/2021/4757668","J Healthc Eng. 2023 Oct 11;2023:9898564. doi: 10.1155/2023/9898564. PMID: "
"34552660","Evaluating Deep Neural Network Architectures with Transfer Learning for ","2021","10.1155/2021/8036304","Comput Math Methods Med. 2023 Aug 9;2023:9858237. doi: 10.1155/2023/9858237. "
"33777167","PSSPNN: PatchShuffle Stochastic Pooling Neural Network for an Explainable ","2021","10.1155/2021/6633755","Comput Math Methods Med. 2023 Sep 27;2023:9859656. doi: 10.1155/2023/9859656. "
"28946087","Beneficial effect of mixture of additives amendment on enzymatic activities, ","2018 Jan","10.1016/j.biortech.2017.09.061","Bioresour Technol. 2025 Apr;421:132177. doi: 10.1016/j.biortech.2025.132177. "
