key,title,year,decision,doi,pubmed_id
rayyan-601300058,A Human-Centered Approach to Interpretable Machine Learning in Clinical Decision Support Systems,2025,Included,10.1109/ICAIIHI67124.2025.11403473,
rayyan-601300059,Exploring the Advancements of AI Enabled Clinical Decision Support Systems for Patient Triage in Healthcare,2024,Included,10.1109/HealthCom60970.2024.10880833,
rayyan-601300060,Interpretable Machine Learning-Based Triage For Decision Support in Emergency Care,2023,Included,10.1109/ICOEI56765.2023.10125918,
rayyan-601300061,Predicting Post-stroke Hospital Discharge Disposition Using Interpretable Machine Learning Approaches,2019,Excluded,10.1109/BigData47090.2019.9006592,
rayyan-601300062,Evidence-Based Reasoning in Medical Assessment: Collaborating with Physicians in Practicing Argument Development and Evidence Marshalling,2024,Maybe,10.1109/EHB64556.2024.10805601,
rayyan-601300063,Interpretable Machine Learning for Early Detection of Critical Outcomes in the Emergency Department,2025,Included,10.1109/CBMS65348.2025.00128,
rayyan-601300064,A Review on the Role of Generative AI and Large Language Models in Telemedicine Diagnosis and Clinical Triage,2026,Excluded,10.1109/CIPHER70417.2026.11523731,
rayyan-601300065,AI-Based Clinical Decision Support System for Mitochondrial Assessment in IVF,2026,Excluded,10.1109/WcCST67302.2026.11495775,
rayyan-601300066,Consistency of XAI Models against Medical Expertise: An Assessment Protocol,2024,Included,10.1109/ICHI61247.2024.00116,
rayyan-601300067,Explainable AI and Augmented Reality in Transesophageal Echocardiography (TEE) Imaging,2024,Maybe,10.1109/AIxVR59861.2024.00051,
rayyan-601300068,Emergency Department Triage Hospitalization Prediction Based on Machine Learning and Rule Extraction,2023,Included,10.1109/IEEECONF58974.2023.10405176,
rayyan-601300069,Early and Accurate Diagnosis of Ectopic Pregnancy: A SHAP-Based Explainable Machine Learning Approach,2026,Excluded,10.1109/ACCESS.2026.3692735,
rayyan-601300070,AI-Powered E-Triage Systems: Enhancing Healthcare Efficiency Through Intelligent Clinical Decision Support,2026,Excluded,10.1109/ICAIII69475.2026.11521349,
rayyan-601300072,An Automated Approach for Timely Diagnosis and Prognosis of Coronavirus Disease,2021,Excluded,10.1109/IJCNN52387.2021.9533786,
rayyan-601300073,Triage Level Prediction Using Machine Learning with Tree-Based Gradient Boosting Algorithms,2025,Included,10.1109/CHILECON66915.2025.11476096,
rayyan-601300074,Early Prediction of In-Hospital Mortality in Emergency Departments Using Ensemble Machine Learning,2026,Included,10.1109/IRASET68627.2026.11538552,
rayyan-601300075,Using Data Mining to Predict Hospital Admissions From the Emergency Department,2018,Excluded,10.1109/ACCESS.2018.2808843,
rayyan-601300076,Emergency Department Triage Classification: A Comparative Study with Explainable AI for Small-Data Environments,2026,Included,10.1109/ICAISET66439.2026.11541334,
rayyan-601300077,Assessment of Hematological Predictors via Explainable Artificial Intelligence in the Prediction of Acute Myocardial Infarction,2023,Included,10.1109/ACCESS.2023.3321509,
rayyan-601300078,Tuberculosis Detection Based on Multiple Model Ensemble in Chest X-ray Image,2022,Excluded,10.1109/ICOT56925.2022.10008144,
rayyan-601300079,Development and Validation of an Explainable Deep Learning Model to Predict Adverse Event During Hospital Admission in Patients with Sepsis,2022,Maybe,10.1109/SNPD54884.2022.10051794,
rayyan-601300080,"The Role of Artificial Intelligence in Mental Health Support: Present Implementations, Innovative Tools, and Research Horizons",2025,Excluded,10.1109/WorldSUAS66815.2025.11198878,
rayyan-601300081,Integrating Deep Learning and Explainable AI for Non-Invasive Prediction of EGFR and KRAS Mutations in NSCLC: A Novel Radiogenomic Approach,2024,Excluded,10.1109/NeuroNT62606.2024.10585441,
rayyan-601300082,Challenges and Opportunities in Quantum-Enhanced XAI for Medical and Healthcare Systems,2025,Excluded,10.1109/ISCC65549.2025.11326106,
